Timestamp,bitfinex,kraken,okcoinusd,cex
2019-06-02 00:59:01.252000,0,0,0,0
2019-06-02 00:59:27.464000,89.16,0.0,0.0,90.0
2019-06-02 00:59:27.546000,89.16,89.26,0.0,180.0
2019-06-02 00:59:27.627000,89.16,89.26,89.34,270.0
2019-06-02 00:59:27.695000,178.95,179.26,89.34,270.0
2019-06-02 00:59:27.721000,178.95,268.43,89.34,360.0
2019-06-02 00:59:27.794000,178.95,268.43,178.56,450.0
2019-06-02 00:59:53.925000,267.96999999999997,268.43,178.56,540.0
2019-06-02 01:01:12.130000,357.78,358.43,178.56,540.0
